AÑOS ;PRECIO GASOLINA SUPERIOR;PRECIO GASOLINA REGULAR;PRECIO  DIÉSEL;PRECIO DEL PETROLEO CRUDO (CIFRAS EN DOLARES);CONSUMO DE GASOLINA SUPERIOR;CONSUMO DE GASOLINA REGULAR ;CONSUMO DE  DIÉSEL;Rezago_1_de_gasolina_superior
1/01/2021; Q23.82 ; Q23.01 ; Q19.10 ;61.50;655,512.66;685,942.97;1,220,637.86;0.00
1/02/2021; Q25.53 ; Q24.74 ; Q20.53 ;59.16;621,712.09;669,312.88;1,272,608.93;1.71
1/03/2021; Q27.70 ; Q26.89 ; Q22.27 ;63.58;692,240.49;773,453.52;1,417,379.54;2.17
1/04/2021; Q28.03 ; Q27.22 ; Q21.77 ;66.32;610,310.75;688,389.03;1,268,491.30;0.33
1/05/2021; Q28.80 ; Q27.98 ; Q22.71 ;73.47;643,076.84;707,336.38;1,188,222.54;0.77
1/06/2021; Q28.85 ; Q27.90 ; Q23.23 ;73.95;637,332.81;692,598.71;1,128,077.11;0.05
1/07/2021; Q29.49 ; Q28.69 ; Q23.64 ;68.50;665,472.94;740,193.13;1,197,398.40;0.64
1/08/2021; Q29.91 ; Q29.09 ; Q23.89 ;75.03;636,824.61;668,221.54;1,104,625.93;0.42
1/09/2021; Q30.23 ; Q29.51 ; Q24.59 ;83.56;605,257.76;670,418.80;1,102,655.34;0.32
1/10/2021; Q31.00 ; Q30.28 ; Q26.47 ;66.18;675,821.54;718,676.32;1,166,983.39;0.77
1/11/2021; Q31.55 ; Q30.82 ; Q27.07 ;75.21;641,916.40;708,246.27;1,223,817.11;0.55
1/12/2021; Q29.82 ; Q29.06 ; Q25.39 ;88.15;768,102.83;821,882.15;1,380,064.62;-1.73
1/01/2022; Q31.41 ; Q30.60 ; Q27.41 ;95.72;621,512.78;683,031.84;1,281,083.25;1.59
1/02/2022; Q33.84 ; Q33.08 ; Q30.20 ;100.28;592,106.14;661,521.58;1,267,195.10;2.43
1/03/2022; Q39.12 ; Q38.51 ; Q37.05 ;104.69;598,038.47;701,819.65;1,335,367.84;5.28
1/04/2022; Q38.83 ; Q35.80 ; Q33.90 ;114.67;569,199.43;812,059.06;1,288,232.70;-0.29
1/05/2022; Q42.14 ; Q39.37 ; Q35.79 ;105.76;483,991.63;791,824.98;1,109,576.77;3.31
1/06/2022; Q41.19 ; Q40.16 ; Q36.17 ;98.62;507,260.42;781,009.47;1,102,689.46;-0.95
1/07/2022; Q36.41 ; Q35.42 ; Q32.34 ;89.55;554,496.90;788,841.46;1,125,984.15;-4.78
1/08/2022; Q36.06 ; Q35.11 ; Q34.84 ;79.49;581,844.42;784,468.32;1,107,348.96;-0.35
1/09/2022; Q35.21 ; Q34.28 ; Q31.64 ;86.53;570,632.20;760,396.15;1,202,883.03;-0.85
1/10/2022; Q37.33 ; Q36.40 ; Q39.18 ;80.56;573,943.48;768,784.36;979,243.31;2.12
1/11/2022; Q37.39 ; Q35.97 ; Q39.93 ;80.47;572,163.23;771,173.12;1,165,294.16;0.06
1/12/2022; Q34.66 ; Q33.10 ; Q35.56 ;80.11;635,953.46;865,851.44;1,241,281.79;-2.73
1/01/2023; Q35.12 ; Q33.70 ; Q36.78 ;77.05;599,501.29;804,524.73;1,285,932.51;0.46
1/02/2023; Q35.03 ; Q33.53 ; Q34.00 ;75.67;544,144.00;737,345.64;1,226,884.63;-0.09
1/03/2023; Q34.40 ; Q32.81 ; Q31.66 ;76.78;656,941.64;875,010.34;1,463,008.43;-0.63
1/04/2023; Q36.33 ; Q34.71 ; Q30.77 ;68.09;586,642.20;798,128.36;1,247,899.39;1.93
1/05/2023; Q34.90 ; Q33.43 ; Q28.44 ;70.64;646,221.20;866,826.79;1,346,554.12;-1.43
1/06/2023; Q34.41 ; Q33.03 ; Q27.53 ;81.80;616,290.21;782,745.17;1,159,045.92;-0.49
1/07/2023; Q35.35 ; Q33.85 ; Q28.90 ;83.63;642,098.16;825,219.05;1,178,454.37;0.94
1/08/2023; Q38.36 ; Q36.84 ; Q32.86 ;90.79;632,333.40;851,754.02;1,222,453.19;3.01
1/09/2023; Q38.12 ; Q36.60 ; Q34.46 ;81.02;597,670.26;799,852.73;1,103,622.25;-0.24
1/10/2023; Q36.61 ; Q35.10 ; Q34.73 ;75.96;531,542.58;728,741.16;998,113.39;-1.51
1/11/2023; Q32.07 ; Q30.56 ; Q32.13 ;71.65;;;;-4.54
1/12/2023; Q30.57 ; Q29.05 ; Q30.31 ;75.85;;;;-1.50
;;;;;;;;-30.57
