"Años","PGS","PGR","PD","PPC","CGS","CGR","CD","Rezago_GS"
"1/1/2021"," Q 23.82 "," Q 23.01 "," Q 19.10 ","61.50","655,512.66","685,942.97","1,220,637.86","0.00"
"2/1/2021"," Q 25.53 "," Q 24.74 "," Q 20.53 ","59.16","621,712.09","669,312.88","1,272,608.93","1.71"
"3/1/2021"," Q 27.70 "," Q 26.89 "," Q 22.27 ","63.58","692,240.49","773,453.52","1,417,379.54","2.17"
"4/1/2021"," Q 28.03 "," Q 27.22 "," Q 21.77 ","66.32","610,310.75","688,389.03","1,268,491.30","0.33"
"5/1/2021"," Q 28.80 "," Q 27.98 "," Q 22.71 ","73.47","643,076.84","707,336.38","1,188,222.54","0.77"
"6/1/2021"," Q 28.85 "," Q 27.90 "," Q 23.23 ","73.95","637,332.81","692,598.71","1,128,077.11","0.05"
"7/1/2021"," Q 29.49 "," Q 28.69 "," Q 23.64 ","68.50","665,472.94","740,193.13","1,197,398.40","0.64"
"8/1/2021"," Q 29.91 "," Q 29.09 "," Q 23.89 ","75.03","636,824.61","668,221.54","1,104,625.93","0.42"
"9/1/2021"," Q 30.23 "," Q 29.51 "," Q 24.59 ","83.56","605,257.76","670,418.80","1,102,655.34","0.32"
"10/1/2021"," Q 31.00 "," Q 30.28 "," Q 26.47 ","66.18","675,821.54","718,676.32","1,166,983.39","0.77"
"11/1/2021"," Q 31.55 "," Q 30.82 "," Q 27.07 ","75.21","641,916.40","708,246.27","1,223,817.11","0.55"
"12/1/2021"," Q 29.82 "," Q 29.06 "," Q 25.39 ","88.15","768,102.83","821,882.15","1,380,064.62","-1.73"
"1/1/2022"," Q 31.41 "," Q 30.60 "," Q 27.41 ","95.72","621,512.78","683,031.84","1,281,083.25","1.59"
"2/1/2022"," Q 33.84 "," Q 33.08 "," Q 30.20 ","100.28","592,106.14","661,521.58","1,267,195.10","2.43"
"3/1/2022"," Q 39.12 "," Q 38.51 "," Q 37.05 ","104.69","598,038.47","701,819.65","1,335,367.84","5.28"
"4/1/2022"," Q 38.83 "," Q 35.80 "," Q 33.90 ","114.67","569,199.43","812,059.06","1,288,232.70","-0.29"
"5/1/2022"," Q 42.14 "," Q 39.37 "," Q 35.79 ","105.76","483,991.63","791,824.98","1,109,576.77","3.31"
"6/1/2022"," Q 41.19 "," Q 40.16 "," Q 36.17 ","98.62","507,260.42","781,009.47","1,102,689.46","-0.95"
"7/1/2022"," Q 36.41 "," Q 35.42 "," Q 32.34 ","89.55","554,496.90","788,841.46","1,125,984.15","-4.78"
"8/1/2022"," Q 36.06 "," Q 35.11 "," Q 34.84 ","79.49","581,844.42","784,468.32","1,107,348.96","-0.35"
"9/1/2022"," Q 35.21 "," Q 34.28 "," Q 31.64 ","86.53","570,632.20","760,396.15","1,202,883.03","-0.85"
"10/1/2022"," Q 37.33 "," Q 36.40 "," Q 39.18 ","80.56","573,943.48","768,784.36","979,243.31","2.12"
"11/1/2022"," Q 37.39 "," Q 35.97 "," Q 39.93 ","80.47","572,163.23","771,173.12","1,165,294.16","0.06"
"12/1/2022"," Q 34.66 "," Q 33.10 "," Q 35.56 ","80.11","635,953.46","865,851.44","1,241,281.79","-2.73"
"1/1/2023"," Q 35.12 "," Q 33.70 "," Q 36.78 ","77.05","599,501.29","804,524.73","1,285,932.51","0.46"
"2/1/2023"," Q 35.03 "," Q 33.53 "," Q 34.00 ","75.67","544,144.00","737,345.64","1,226,884.63","-0.09"
"3/1/2023"," Q 34.40 "," Q 32.81 "," Q 31.66 ","76.78","656,941.64","875,010.34","1,463,008.43","-0.63"
"4/1/2023"," Q 36.33 "," Q 34.71 "," Q 30.77 ","68.09","586,642.20","798,128.36","1,247,899.39","1.93"
"5/1/2023"," Q 34.90 "," Q 33.43 "," Q 28.44 ","70.64","646,221.20","866,826.79","1,346,554.12","-1.43"
"6/1/2023"," Q 34.41 "," Q 33.03 "," Q 27.53 ","81.80","616,290.21","782,745.17","1,159,045.92","-0.49"
"7/1/2023"," Q 35.35 "," Q 33.85 "," Q 28.90 ","83.63","642,098.16","825,219.05","1,178,454.37","0.94"
"8/1/2023"," Q 38.36 "," Q 36.84 "," Q 32.86 ","90.79","632,333.40","851,754.02","1,222,453.19","3.01"
"9/1/2023"," Q 38.12 "," Q 36.60 "," Q 34.46 ","81.02","597,670.26","799,852.73","1,103,622.25","-0.24"
"10/1/2023"," Q 36.61 "," Q 35.10 "," Q 34.73 ","75.96","531,542.58","728,741.16","998,113.39","-1.51"
"11/1/2023"," Q 32.07 "," Q 30.56 "," Q 32.13 ","71.65","","","","-4.54"
"12/1/2023"," Q 30.57 "," Q 29.05 "," Q 30.31 ","75.85","","","","-1.50"
"","","","","","","","","-30.57"
